customer_id,age,gender,income,region
TIZbFgMv1R70,40,M,98000,Northeast
f6hyFebQTPRY,64,M,34000,Midwest
QnzvJSTCskzy,23,M,15000,South
wpxajTjUx4ZS,22,F,219000,South
1SQWPMeTsOdc,56,F,22000,West
sFEF91FwWFSr,47,F,61000,West
M4fltlrTqiyI,46,M,19000,South
BnytVKqaCFVh,49,F,47000,Midwest
WKkhCrOMSwX3,62,F,184000,South
Mzy7btumxbSE,55,F,42000,Midwest
cbIMFDqmvl8E,23,M,64000,West
CbyXD5opiN81,44,M,26000,West
E6SYbmxTFlDX,63,M,221000,South
wOGWmZmZutXB,48,M,55000,West
4PM17v62EyZb,60,F,262000,Midwest
cs1O5SqSRMIX,28,F,176000,Northeast
kPwhUM6Hpmjx,61,M,21000,South
kuF652QDy4bQ,65,M,15000,Midwest
gagYwViZw0Aa,37,M,37000,South
vxvS3ADDPXDX,50,M,23000,Northeast
BPqMMAP1EODJ,34,F,69000,Midwest
pPYgellTiTCV,65,M,15000,West
oorKvPmnv7E8,45,F,66000,South
24y5edqk7CVp,23,M,205000,South
tHyU7JyTYpE8,24,M,216000,South
Fn4g7d2PHSnY,47,F,309000,Midwest
gamNJQ1RSqSO,39,M,102000,West
KUylXhmvMd4E,29,F,21000,West
gDhqJzVKpTMT,53,M,59000,West
AvtlFA8FnVUR,38,M,30000,South
Q45BHjzU7sWr,20,F,42000,Northeast
0iOX0gLzVtii,32,F,66000,South
j3xX5BWm20Gd,58,F,79000,Midwest
vG0jM3uCTZDb,37,F,178000,Northeast
5BicxXa3kjpL,37,F,20000,South
76WVtulSvbWO,40,F,46000,West
yKwLlwh6xCFW,53,M,64000,South
hMuZvMKsjlkz,43,F,26000,Midwest
GDepWTHiIuIB,22,F,121000,South
zCvapjPP3hbz,26,M,62000,Midwest
4LTaW3WkO7Uq,49,F,194000,South
LrLwElNebXe1,61,F,25000,South
ovyT2EE8Yny3,47,M,197000,Northeast
6wAXv2kViRbS,34,M,57000,Midwest
o5AErgQIaDoe,38,M,109000,Midwest
q4s93SpqVhDP,58,M,27000,Northeast
ayda1MVMfjQS,49,F,27000,Northeast
dykwB6mDo45k,51,M,31000,Northeast
kZFVhSI0i2h8,34,F,59000,West
KR4fScsQXw8r,30,M,77000,Midwest
SW16sBbayBj2,43,F,232000,Northeast
OBSLNXP24oUi,36,F,34000,Northeast
y0wNFMlC1KtF,55,M,85000,Northeast
PKxxYxZaWbii,50,M,246000,Midwest
SrjjOX10uher,63,F,15000,Midwest
Ohhs6qAiZ1nQ,25,M,28000,South
66OO2IDnfpwj,18,M,101000,West
noAfZQqqIsTc,39,M,56000,Midwest
dRgcvGaOX4JP,65,M,30000,Northeast
Ww98JjwjXt79,30,M,15000,South
G7aEDYs3KbBT,41,M,75000,Midwest
cTiT276RX3dA,61,F,84000,South
XllHOt8HA4OI,21,M,44000,Northeast
N9mMSkvNbh7t,64,M,67000,Midwest
7sVk1eNzNgj1,43,M,84000,Northeast
QjY1R6M6PGnB,45,M,15000,Midwest
9F6598cAko9w,44,M,1e+05,South
V7eYuUfUf1sX,22,F,45000,Northeast
fIwCckuiePk4,41,F,54000,West
BsH7WAX3xWSJ,54,M,89000,Northeast
S2zAFoQ9qk6p,28,M,48000,West
Mmki4P5nkdU1,28,M,72000,Northeast
N4fXh2zb95ND,32,M,34000,Midwest
SeRFXQXijiwJ,24,M,15000,South
LC4V624GJ1Rf,61,M,20000,South
d4x0n2Je8T64,53,M,32000,South
nENUmerynSBy,25,F,32000,Midwest
y1S5EiysRhW1,27,M,18000,Northeast
wA25mG0rnb60,24,F,214000,West
GIZyEKw9iQlx,50,F,28000,West
mLwCo5IZlwZS,36,M,24000,South
FxxQtExCoz0j,43,F,111000,Northeast
aBmv7543D1AO,64,M,20000,Midwest
88ecI17XCXkx,30,F,15000,Northeast
Nahjso43T91U,29,F,15000,Midwest
mrRCvVrkwIq8,33,F,27000,West
VEQO6Ul4qHaQ,38,F,69000,Northeast
Zmqha4LzrqoN,27,F,138000,West
1C0ouG6b91Qu,50,F,15000,Midwest
qQ5Jzdtj2aO1,40,M,39000,Northeast
jULjqGfnfqcW,38,F,20000,South
dxmQR0Vb1110,35,M,59000,South
m7lGidLxQwQI,19,F,69000,West
KCoucTm1pVF6,40,F,25000,South
e0FTLdRKQDp8,62,M,18000,Midwest
g862cWMiMgYt,48,M,152000,West
YWnWale4Q1nD,21,M,273000,Midwest
FItkW5JB5Bkm,20,M,169000,Midwest
or8yLwsVDURe,23,F,23000,Northeast
2BfB7ZNC5SnD,46,M,110000,South
S7xLw6PrUJhA,27,F,16000,South
4p2rBXytp6hE,28,F,79000,Northeast
dALhtAe8muwt,63,M,55000,South
qbLBS00wyxNg,31,M,24000,West
EtpIxltfeYE1,23,M,42000,Midwest
bwHpr0Wh6aGt,44,M,180000,West
i0Tdn2v4Ayzr,30,F,72000,South
Jv448hbV9NvP,49,F,32000,Northeast
bGSsHkRNVjJo,58,M,73000,Midwest
BP1HMww3XYrr,33,F,52000,South
y32jyd58YQFN,34,F,67000,Midwest
haTXQQE18atv,23,F,142000,Midwest
RpFV7BZk7DHi,39,M,23000,Northeast
wa2U2idccC1f,21,M,43000,South
qNZWgy590DXH,29,M,63000,Midwest
WF5LKP716ooC,36,M,22000,West
KDqxNvJp38bP,50,F,118000,Northeast
7aIU4GXpAjeE,35,F,37000,Northeast
F3I08NDgCb4u,24,F,70000,South
a1RCGJffZnBq,18,M,69000,South
Bz5ztLq7pkLl,19,M,15000,South
FAkMY7WvSU4U,18,M,30000,Northeast
4owQ2PVc4GRm,41,M,52000,West
0DFj10xPUdpM,44,M,37000,South
S7OauyaYomZe,64,M,15000,Midwest
LOgdtE8XI7jg,46,F,69000,South
X5OlMs3QRTbX,23,M,50000,Midwest
c9UmE6Q3WMcH,35,M,30000,West
WiK4JDmsTmZ8,28,M,41000,West
TFF4yVkjCNDV,24,F,35000,Northeast
cHGELwxBj1Mp,49,M,127000,Midwest
8dikpPFKcR97,29,M,83000,Northeast
3rhXtrYzblHh,47,F,267000,West
kLMu6LUpJPfs,63,M,46000,South
AWkY3kbuoJwH,47,F,122000,West
cI089FH920Pk,28,F,15000,West
CmmiZAYQYP3J,42,M,17000,Midwest
rR7LNRNl7XkL,61,F,28000,Midwest
gYopubnyHNMS,22,F,40000,South
ZNIILUHys9wg,22,M,84000,West
r2RIemlIb0XS,46,F,15000,Midwest
9dnhcm7OAYJN,28,M,42000,Northeast
SVc9A7850K7g,56,M,15000,Midwest
PKAtC9j1ifpi,25,F,59000,West
GAeaAqiRoAY7,65,M,35000,Midwest
EbO2fTA4OEwp,52,F,104000,Northeast
WQJaZ7QZoiAw,54,M,26000,South
IXS5sDEAZZiW,54,F,34000,Northeast
qTv1ftUpEL7K,52,F,50000,Midwest
wnbP5xAHDFHe,59,M,57000,West
bzxB0Tz44m5y,53,F,110000,West
DIZZ2PZksQzq,39,F,22000,West
hUPTBXEHODFv,19,M,18000,Northeast
eeeUbQ0QN39X,52,F,74000,West
BrvLuwqHosAj,29,F,70000,West
W8lEjvETBG64,22,M,84000,Northeast
yWbonbAzM30T,41,M,37000,West
zlhy2wMBrQ2s,33,M,292000,Northeast
fIfm2l2K9aTW,62,M,31000,South
goBjTJICQMRZ,40,M,31000,South
EIBvcKRp3YuQ,38,M,27000,South
RmFbsPekw2sg,60,M,99000,West
87WQEx8Hc7bD,57,F,28000,Midwest
FJ6Ls2RErWNH,29,M,16000,South
wfhWuAYfJwEL,61,M,15000,South
LBIVuSf0UKnr,24,F,37000,West
ugNaOmAopcI5,56,M,71000,Midwest
WPNUcjmoLsLb,39,M,67000,Northeast
j7ifUEwgyjUo,49,M,106000,Midwest
fDzJVoesasdh,23,F,120000,West
yc4P6TFYSZwJ,50,F,28000,Northeast
9qmqwVzsAB0J,22,M,70000,Midwest
0Pq58HYALISB,29,M,98000,Northeast
N84CGAl0bk0U,37,F,32000,South
6HEsHl6ufdx0,47,F,232000,West
r1ciUe4u9y5M,59,M,25000,Midwest
M7ySNMiKIC4l,50,M,47000,West
L7Idml70gob5,54,F,15000,West
GeHKKmlVEbKa,43,M,47000,Midwest
mTOPwgFjsekE,60,F,28000,West
rZdFUd5anv8a,65,M,24000,Northeast
TcIuEqHEHQXq,21,F,15000,South
FfK3UIotVTX5,33,F,68000,Midwest
RXDZ8LV5GuzZ,36,M,30000,South
JFKN6eAklyh0,58,F,46000,Northeast
hx5DdQTrT8CN,38,F,89000,Midwest
fbsZIwBvpuMb,44,M,21000,Northeast
qJpjDh44oL5k,62,F,35000,Midwest
Xgln4yMngAfQ,52,F,16000,Northeast
igJu3zc3UKfF,42,M,15000,West
YIy5vU2GRak5,48,M,22000,West
seYv9d6ju8SK,57,F,41000,West
2A8ZisY8O738,39,M,78000,Northeast
YJmjvNfUiUT7,45,F,81000,Northeast
dXH3ZVLnmKMH,31,M,160000,West
P4NfZmq0xdI2,56,F,64000,West
7EtR8D2UPyhU,21,M,54000,Northeast
Qi09tnkZxoto,34,F,74000,Northeast
cP0JXWR3Ytmp,30,F,15000,West
vxL1dckkJDHu,27,F,18000,South
sS5fMk2aDZSO,37,M,15000,Midwest
d9QjRiFGb0a8,42,F,92000,Northeast
u9UHa931HneG,22,M,113000,Midwest
bceNmBqd7hK3,27,F,153000,Midwest
wgG7cWErYV0S,23,F,51000,South
yUVoZOz5jJez,39,F,15000,Midwest
cQOEPRcxr6zG,44,M,15000,Northeast
YbyRGQ8iFhgm,37,M,26000,West
Hs023WLcdKQt,24,F,26000,Midwest
FlDAeYQYKRa0,23,M,19000,Northeast
adhj2PVKIZeQ,31,F,55000,Midwest
bihsABdXmW4b,19,F,22000,West
9lj2HtDQGzbQ,63,F,15000,West
PkS74rJCch78,34,F,53000,Midwest
0X1345JuSCuq,45,F,70000,West
soVtYKyHmewU,61,M,53000,South
bm5TsPPPWFSY,23,M,15000,South
sQWYRDwlaOgx,46,F,47000,West
XnuzLcQiEp4y,31,F,90000,Midwest
rFHca67PC1ON,38,M,15000,South
BiocpVh0tpHB,43,F,15000,Midwest
GQhjMV2APMIq,42,M,15000,Northeast
V8zDH9LqO5AI,57,M,74000,South
YldPqcP2YISg,42,F,41000,Northeast
7H4UPih53sqG,32,M,35000,South
27thV5pxMUH8,37,M,16000,Midwest
CaWGg1GqsWSj,59,F,64000,Northeast
vEXJZ2A5oa7Q,19,M,69000,Midwest
rh8VSWbscRz2,49,M,142000,South
DCPr9XsGTC08,55,M,15000,Midwest
TeF5Pn8iVdya,35,M,161000,Northeast
FKYUgpcxX5s4,28,M,20000,West
zjGmlzLNQyM8,59,M,15000,West
lQHE5iRFNK1l,61,F,30000,Northeast
Oa4EdTj9J8i8,35,F,146000,South
u2ngel4iECkM,29,M,65000,Midwest
FXqc5wNEcTtT,54,M,15000,West
yGmWByDiZ5vS,62,F,68000,Midwest
ulXskuH8FubC,22,M,30000,Midwest
DyyTrArj5HCj,59,M,94000,West
2rbnQx9w6yO6,59,M,49000,West
saRl3ENX5ITy,27,F,74000,Midwest
GUKDHh23bqo9,65,M,188000,West
drYgHA0cPX2b,26,F,229000,West
BVBDj8CZTl3R,51,M,83000,Northeast
xtQMb0o3jTAt,47,M,197000,Northeast
